month,cases,deaths,mortality,region
jan,0,0,0.00,South
feb,11,0,0.00,South
mar,31885,701,2.20,South
apr,216682,9117,4.21,South
may,445101,17794,4.00,South
jun,870277,24037,2.76,South
jul,1984503,38387,1.93,South
aug,2740991,56371,2.06,South
sep,3333673,70049,2.10,South
oct,4073711,81401,2.00,South
nov,5379609,94990,1.77,South
dec,7634460,119568,1.57,South
